"id","age","gen","smp","Bew 01","bew_02","BEW 03"
1,47,1,2,7,7,7
2,48,1,2,7,7,5
3,33,1,2,6,5,6
4,43,1,2,7,7,7
5,22,0,2,5,5,5
6,43,1,2,4,7,5
7,57,1,2,6,7,5
8,60,1,2,6,6,6
9,49,1,2,6,4,5
10,50,0,2,7,7,7
11,34,1,2,5,5,5
12,24,0,2,5,7,6
13,35,0,2,3,3,4
14,45,0,2,4,5,5
15,18,0,2,6,6,5
16,44,0,2,7,7,7
17,20,1,2,6,7,4
18,22,1,2,6,5,5
19,27,0,2,6,6,6
20,22,0,2,7,7,6
21,21,1,2,5,5,5
22,22,1,2,6,7,6
23,45,0,2,6,6,6
24,54,0,2,7,7,7
25,23,1,2,5,5,5
26,27,1,2,7,7,6
27,33,0,2,7,7,6
28,41,1,2,7,7,7
29,18,0,2,5,6,5
30,19,1,2,6,7,6
31,18,1,2,5,5,5
32,73,0,2,6,6,5
33,30,1,2,5,5,5
34,55,1,2,7,7,7
35,23,1,2,7,7,7
36,49,1,2,6,6,6
37,23,1,2,0,7,7
38,24,1,2,7,7,6
39,19,1,2,7,7,7
40,27,1,2,7,7,0
41,51,1,2,7,7,4
42,42,1,2,4,4,4
43,25,1,2,5,7,5
44,19,1,2,6,6,5
45,24,1,2,6,7,5
46,68,1,2,6,7,6
47,29,0,2,7,7,7
48,74,1,2,5,3,3
49,27,1,2,5,2,5
50,50,0,2,4,2,2
51,64,1,2,6,7,7
52,26,1,2,4,6,2
53,29,1,2,6,7,5
54,45,0,2,7,7,7
55,71,1,2,3,6,6
56,28,1,2,6,4,6
57,26,1,2,5,6,5
58,34,0,2,7,7,7
59,31,1,2,6,6,6
60,31,0,2,3,4,4
61,20,1,2,6,7,5
62,29,0,2,7,7,7
63,66,1,2,6,6,6
64,20,0,2,4,5,4
65,21,0,2,6,6,6
66,20,0,2,6,6,5
67,39,1,2,7,7,7
68,24,0,2,7,7,7
69,22,0,2,6,7,6
70,27,0,2,6,6,5
71,57,1,2,5,6,5
72,21,0,2,6,6,5
73,24,0,2,6,7,6
74,25,0,2,7,7,7
75,51,0,2,7,7,7
76,25,0,2,7,7,7
77,29,0,2,6,6,5
78,25,0,2,5,7,5
79,26,0,2,5,5,5
80,18,0,2,7,7,7
81,54,0,2,6,6,6
82,54,0,2,7,7,7
83,31,0,2,6,6,6
84,56,0,2,6,6,6
85,19,0,2,5,7,5
86,23,0,2,7,7,7
87,56,0,2,6,6,6
88,22,0,2,7,7,7
89,25,0,2,5,7,7
90,24,0,2,7,7,7
91,22,0,2,6,6,6
92,32,0,2,7,7,7
93,26,0,2,6,7,6
94,30,0,2,3,4,3
95,24,0,2,7,7,7
96,53,1,2,6,7,6
97,24,0,2,7,7,7
98,26,0,2,5,5,5
99,50,0,2,7,3,7
100,23,0,2,3,6,3
101,54,0,2,3,7,3
102,55,1,2,4,3,3
103,19,1,2,6,6,6
104,62,0,2,4,7,7
105,39,0,2,7,7,7
106,66,1,2,5,7,7
107,77,1,2,5,5,4
108,46,1,2,6,7,7
109,54,0,2,6,6,6
110,22,0,2,5,7,4
111,52,0,2,7,7,7
112,48,1,2,3,3,3
113,54,1,2,2,6,6
114,20,0,2,6,7,6
115,53,1,2,7,7,7
116,20,1,2,7,7,7
117,20,0,2,5,6,5
118,23,1,2,6,4,5
119,30,0,2,7,7,4
120,21,0,2,7,7,7
141,56,0,1,5,5,5
142,28,1,1,7,7,6
147,26,1,1,4,6,5
148,32,0,0,4,5,5
150,22,0,1,6,6,6
151,23,0,1,7,7,7
153,26,0,1,6,6,6
156,28,0,0,7,6,7
157,23,1,1,5,7,4
158,25,1,0,6,6,5
160,24,0,1,7,7,7
162,25,1,0,5,5,6
163,25,1,0,7,7,7
164,24,0,1,6,6,6
165,30,0,1,5,6,5
166,29,0,1,7,7,7
168,24,0,0,7,6,6
170,22,0,0,4,7,5
172,22,0,1,3,4,3
175,23,0,1,6,7,5
177,23,0,1,3,7,1
178,26,1,0,3,3,3
181,24,1,1,7,7,7
182,29,0,1,4,7,4
188,23,0,1,6,7,6
189,25,1,0,4,4,3
190,25,0,0,5,5,4
191,29,1,1,7,7,1
192,27,1,0,7,6,5
194,25,0,0,5,6,6
195,59,1,0,2,4,4
196,24,0,0,6,6,5
198,24,0,1,7,7,7
199,29,0,0,6,7,7
200,50,0,0,6,7,6
