"id","alter","beziehung","einkommen","jahr","tv_stunden"
1,27,"unverheiratet",55935,2014,0
2,24,"unverheiratet",4125,2014,3
3,23,"unverheiratet",68242,2008,1
4,25,"unverheiratet",NA,2014,3
5,25,"unverheiratet",7836,2008,3
6,34,"unverheiratet",24631,2000,3
7,35,"unverheiratet",51375,2000,3
8,53,"unverheiratet",NA,2014,2
9,26,"unverheiratet",97300,2008,3
10,22,"unverheiratet",NA,2000,3
11,29,"unverheiratet",58963,2014,1
12,22,"unverheiratet",9008,2008,4
13,48,"unverheiratet",NA,2000,3
14,24,"unverheiratet",13669,2000,5
15,26,"unverheiratet",10597,2000,2
16,31,"unverheiratet",5521,2014,2
17,61,"unverheiratet",49616,2008,4
18,31,"unverheiratet",NA,2000,1
19,34,"unverheiratet",51480,2008,3
20,68,"unverheiratet",NA,2000,3
21,31,"unverheiratet",NA,2014,3
22,20,"unverheiratet",8441,2008,3
23,61,"unverheiratet",NA,2000,1
24,26,"unverheiratet",49009,2000,3
25,27,"unverheiratet",28186,2014,3
26,26,"unverheiratet",19383,2014,2
27,18,"unverheiratet",NA,2000,4
28,24,"unverheiratet",24363,2008,2
29,74,"unverheiratet",20472,2014,3
30,36,"unverheiratet",15813,2008,3
31,43,"unverheiratet",NA,2008,5
32,47,"unverheiratet",31967,2014,3
33,22,"unverheiratet",92533,2008,4
34,40,"unverheiratet",NA,2000,3
35,40,"unverheiratet",20128,2014,4
36,44,"unverheiratet",3288,2014,3
37,20,"unverheiratet",7897,2000,1
38,22,"unverheiratet",NA,2000,6
39,42,"unverheiratet",23864,2014,1
40,26,"unverheiratet",19411,2008,3
41,72,"unverheiratet",37591,2014,4
42,22,"unverheiratet",4361,2008,4
43,40,"unverheiratet",98276,2014,3
44,44,"unverheiratet",18554,2000,3
45,27,"unverheiratet",NA,2008,2
46,52,"unverheiratet",63380,2000,1
47,20,"unverheiratet",NA,2000,3
48,21,"unverheiratet",NA,2000,2
49,23,"unverheiratet",NA,2014,3
50,20,"unverheiratet",4689,2014,1
51,18,"unverheiratet",2583,2008,3
52,29,"unverheiratet",12017,2000,3
53,23,"unverheiratet",NA,2014,12
54,48,"unverheiratet",NA,2000,3
55,26,"unverheiratet",NA,2008,12
56,32,"unverheiratet",58638,2008,1
57,48,"unverheiratet",NA,2008,3
58,38,"unverheiratet",NA,2014,3
59,35,"unverheiratet",NA,2008,6
60,46,"unverheiratet",56186,2008,5
61,29,"unverheiratet",61722,2008,3
62,39,"unverheiratet",70454,2000,3
63,21,"unverheiratet",1239,2000,3
64,61,"unverheiratet",NA,2014,3
65,19,"unverheiratet",2903,2008,5
66,38,"unverheiratet",NA,2000,3
67,28,"unverheiratet",59435,2014,3
68,30,"unverheiratet",16171,2014,1
69,23,"unverheiratet",NA,2014,1
70,20,"unverheiratet",5349,2008,3
71,20,"unverheiratet",2085,2014,3
72,42,"unverheiratet",18103,2008,3
73,29,"unverheiratet",20730,2000,0
74,30,"unverheiratet",41611,2014,3
75,20,"unverheiratet",NA,2014,2
76,31,"unverheiratet",95317,2008,5
77,70,"unverheiratet",NA,2014,3
78,33,"unverheiratet",71225,2008,3
79,56,"unverheiratet",NA,2014,4
80,26,"unverheiratet",45920,2014,4
81,40,"unverheiratet",11133,2008,3
82,19,"unverheiratet",3844,2008,3
83,29,"unverheiratet",97428,2014,2
84,47,"unverheiratet",41712,2000,3
85,37,"unverheiratet",82809,2014,2
86,24,"unverheiratet",21409,2014,7
87,23,"unverheiratet",47119,2008,2
88,27,"unverheiratet",17333,2014,3
89,26,"unverheiratet",14281,2008,3
90,29,"unverheiratet",29864,2000,2
91,57,"unverheiratet",NA,2000,1
92,27,"unverheiratet",12310,2008,3
93,30,"unverheiratet",18697,2014,5
94,37,"unverheiratet",39125,2000,3
95,46,"unverheiratet",NA,2014,2
96,29,"unverheiratet",10547,2000,3
97,25,"unverheiratet",2851,2014,1
98,48,"unverheiratet",61010,2000,3
99,21,"unverheiratet",12744,2000,2
100,22,"unverheiratet",9183,2000,3
101,66,"geschieden",285,2014,3
102,61,"geschieden",NA,2014,2
103,56,"geschieden",81555,2000,2
104,48,"geschieden",NA,2014,0
105,47,"geschieden",63582,2000,2
106,37,"geschieden",56212,2014,8
107,56,"geschieden",73012,2014,1
108,67,"geschieden",NA,2014,3
109,40,"geschieden",4325,2000,2
110,59,"geschieden",NA,2014,1
111,37,"geschieden",32160,2014,2
112,37,"geschieden",70384,2008,3
113,50,"geschieden",67244,2008,4
114,67,"geschieden",NA,2014,2
115,43,"geschieden",85238,2000,2
116,59,"geschieden",87272,2014,3
117,53,"geschieden",24407,2014,4
118,56,"geschieden",14786,2000,3
119,51,"geschieden",75900,2014,2
120,67,"geschieden",NA,2000,5
121,73,"geschieden",NA,2014,8
122,43,"geschieden",21189,2000,2
123,39,"geschieden",76856,2014,2
124,47,"geschieden",74569,2008,2
125,61,"geschieden",34564,2000,2
126,54,"geschieden",NA,2000,8
127,34,"geschieden",68401,2000,2
128,53,"geschieden",67009,2014,2
129,64,"geschieden",NA,2000,4
130,67,"geschieden",NA,2014,1
131,35,"geschieden",NA,2000,1
132,45,"geschieden",24779,2000,3
133,29,"geschieden",96107,2000,2
134,58,"geschieden",84939,2014,2
135,30,"geschieden",54364,2000,2
136,NA,"geschieden",20240,2000,2
137,62,"geschieden",73092,2008,2
138,74,"geschieden",NA,2014,2
139,60,"geschieden",NA,2008,9
140,35,"geschieden",92424,2000,1
141,47,"geschieden",96167,2000,1
142,33,"geschieden",NA,2000,1
143,51,"geschieden",NA,2008,5
144,76,"geschieden",NA,2014,3
145,46,"geschieden",11924,2000,2
146,48,"geschieden",45426,2014,1
147,38,"geschieden",22205,2000,3
148,62,"geschieden",NA,2008,10
149,45,"geschieden",26929,2000,2
150,50,"geschieden",91272,2014,1
151,39,"geschieden",NA,2008,2
152,38,"geschieden",18598,2008,1
153,47,"geschieden",13463,2008,6
154,53,"geschieden",21894,2014,2
155,28,"geschieden",NA,2008,4
156,65,"geschieden",NA,2014,4
157,56,"geschieden",29510,2014,1
158,65,"geschieden",76790,2014,1
159,49,"geschieden",40443,2008,4
160,58,"geschieden",NA,2008,6
161,51,"geschieden",73869,2014,4
162,49,"geschieden",41002,2000,3
163,66,"geschieden",46970,2014,3
164,29,"geschieden",16694,2014,1
165,36,"geschieden",15817,2000,2
166,46,"geschieden",NA,2008,5
167,35,"geschieden",68732,2000,2
168,37,"geschieden",NA,2008,2
169,40,"geschieden",15686,2014,2
170,54,"geschieden",22219,2000,2
171,37,"geschieden",NA,2000,2
172,63,"geschieden",63471,2014,2
173,71,"geschieden",14345,2014,2
174,45,"geschieden",50529,2000,2
175,44,"geschieden",92262,2000,1
176,49,"geschieden",23296,2000,1
177,38,"geschieden",5716,2014,2
178,66,"geschieden",NA,2000,3
